DATAFLOW,REF_AREA,FREQ,MEASURE,CUR,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2011,978,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2012,1004,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2013,1020,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2014,1043,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2015,1074,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2016,1193,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2017,1243,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2018,1300,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2019,1360,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2020,1445,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2021,1476.485,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2022,1574.255,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2023,1804.75,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_LCU,2024,1981.4,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_LCU,1991,658.65,,NB,CR,0,ADM - Labour legislation,,ILO calculation: Monthly figure divided by 40 hours and 4.33 weeks | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_LCU,1992,736.65,,NB,CR,0,ADM - Labour legislation,,ILO calculation: Monthly figure divided by 40 hours and 4.33 weeks | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_LCU,1994,736.65,,NB,CR,0,ADM - Labour legislation,,ILO calculation: Monthly figure divided by 40 hours and 4.33 weeks | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_LCU,1996,736.65,,NB,CR,0,ADM - Labour legislation,,ILO calculation: Monthly figure divided by 40 hours and 4.33 weeks | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_LCU,1997,823.32,,NB,CR,0,ADM - Labour legislation,,ILO calculation: Monthly figure divided by 40 hours and 4.33 weeks | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_LCU,1998,892.65,,NB,CR,0,ADM - Labour legislation,,ILO calculation: Monthly figure divided by 40 hours and 4.33 weeks | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_LCU,1999,893,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_LCU,2000,893,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_LCU,2001,893,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_LCU,2002,893,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_LCU,2003,893,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_LCU,2004,893,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_LCU,2005,893,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_LCU,2006,893,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_LCU,2007,893,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_LCU,2008,1014,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_LCU,2009,1135,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_LCU,2010,1257,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | USD: United States dollar,,2,,
