DATAFLOW,REF_AREA,FREQ,MEASURE,CUR,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_PPP,2008,1193.269,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_PPP,2009,1211.943,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_PPP,2010,1228.266,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_PPP,2011,1257.592,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_PPP,2012,1275.395,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_PPP,2013,1286.441,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_PPP,2014,1306.171,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_PPP,2015,1332.839,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_PPP,2016,1512.806,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_PPP,2017,1579.849,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_PPP,2018,1664.32,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_PPP,2019,1800.099,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_PPP,2020,1923.392,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_PPP,2021,2007.357,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_PPP,2022,2263.541,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_PPP,2023,2679.066,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),GBR,A,EAR_INEE_NB,CUR_TYPE_PPP,2024,2902.134,,NB,CR,0,ADM - Labour legislation,,Type of minimum wage: National floor | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks | GBP: British pound,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_PPP,1991,658.65,,NB,CR,0,ADM - Labour legislation,,ILO calculation: Monthly figure divided by 40 hours and 4.33 weeks | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_PPP,1992,736.65,,NB,CR,0,ADM - Labour legislation,,ILO calculation: Monthly figure divided by 40 hours and 4.33 weeks | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_PPP,1994,736.65,,NB,CR,0,ADM - Labour legislation,,ILO calculation: Monthly figure divided by 40 hours and 4.33 weeks | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_PPP,1996,736.65,,NB,CR,0,ADM - Labour legislation,,ILO calculation: Monthly figure divided by 40 hours and 4.33 weeks | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_PPP,1997,823.32,,NB,CR,0,ADM - Labour legislation,,ILO calculation: Monthly figure divided by 40 hours and 4.33 weeks | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_PPP,1998,892.65,,NB,CR,0,ADM - Labour legislation,,ILO calculation: Monthly figure divided by 40 hours and 4.33 weeks | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_PPP,1999,893,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_PPP,2000,893,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_PPP,2001,893,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_PPP,2002,893,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_PPP,2003,893,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | USD: United States dollar,,2,,
ILO:DF_EAR_INEE_CUR_NB(1.0),USA,A,EAR_INEE_NB,CUR_TYPE_PPP,2004,893,,NB,CR,0,ADM - Labour legislation,Repository: Eurostat | Data reference period: July,Type of minimum wage: Singular national minimum wage | USD: United States dollar,,2,,
